,井名,校深,电阻率,声波时差,岩石密度,补偿中子,泥质含量,总孔隙度,渗透率,含油气饱和度
0,苏160,365.20000000000005,67.3306024116484,204.18012049260676,2.6134939759852136,10.332212486054217,16.56194961694961,3.9571686746144574,0.17308324208324205,19.420711939125958
1,苏157,441.99999999999994,50.97443891376018,212.68185973316744,2.6057918550805432,9.410728506470136,19.519190044045253,5.019479638032127,0.16250678734253396,16.878873303396833
2,苏109,391.0,68.51343734040921,204.96272634393864,2.6078056265703324,8.821335037826087,16.1650946302711,4.163462915529411,0.18376470570741688,21.811820970113043
3,苏186,195.0,62.11504102492308,208.28865128215386,2.5954717949107695,8.693558974945642,17.492143588778973,4.673441025632307,0.1916461539174359,14.570994872559488
4,苏159,370.6,41.05491095655154,209.17230978440364,2.5749649218785753,10.267317862811657,21.776583916724228,5.171370750203993,0.14479222890609822,16.139848894274152
5,苏120,464.40000000000003,60.99866925109819,215.60011627028422,2.5821403962196383,9.037019809957364,21.77589147343669,5.687984496041343,0.22769595194875106,20.79307924367571
6,苏62,354.59999999999997,104.04230682383532,205.49473208567403,2.5553525098471517,9.757969543632264,20.93878172504512,4.194912577759165,0.10269599542413989,23.273536380039488
7,苏60,219.3,117.25134974437302,206.29204741833104,2.5356634745886915,12.718317373431828,18.28305973579845,4.321057911569994,0.16930688550341996,19.46897400800912
8,苏190,478.79999999999995,58.10519632344612,209.15119465839598,2.574436090233918,10.010213032488721,16.50191729243108,4.494239766106099,0.20710526306725147,15.743253969525899
9,苏140,473.20000000000005,57.451855452768385,205.67724850862214,2.609649196893491,8.081986475135672,21.006889264742178,4.096056635669907,0.11093406593871513,14.687282332973794
10,苏162,182.2,53.23196487153129,211.08436881531287,2.584006586153677,10.443205269009331,16.459780462250276,4.986717892629528,0.27423710202689355,12.829769483732711
11,苏334,139.99999999999997,85.10902857743574,209.50020713157147,2.6215000000807147,9.93064285723429,18.744742858007147,5.053678571459287,0.26062857147000007,21.178642856517147
12,苏161,167.0,73.10375449152096,203.95059282413175,2.6146287424778443,8.35913772481437,19.036089821291018,3.7749461077766466,0.1142814373245509,12.62286227528503
13,苏156,170.29999999999998,74.05654727103934,209.8023135742807,2.5858367584938344,10.8286142106101,19.122108046288904,4.7975924839307105,0.199571344640047,13.64540810324839
14,苏177,357.20000000000005,51.15341545386897,210.21633259160132,2.587161254227883,9.734507278921612,18.3539809624804,4.960739081759797,0.22465285566573343,15.707480403399774
15,苏61,413.79999999999995,67.62905751638957,215.3082455310295,2.5418656356824556,14.823779603562107,20.625157080231997,6.006143064304979,0.2930207829874336,19.978844852013534
16,苏14,159.70000000000002,161.00618660012523,209.1778522195992,2.56465247349906,10.444308077015027,22.766386976180335,4.829254852863492,0.2279711959348779,16.566155291599244
17,苏183,202.3,59.60390509167573,205.38286208126544,2.5707909047053876,11.704028669857141,19.291571923321797,4.10212555613742,0.09857142849826989,21.531507661393967
18,苏179,316.0,110.91689239500633,199.37660124506328,2.610303797327848,7.009145569784177,17.50410759512658,3.0754303797962024,0.07034177209556962,12.858411392833546
19,苏175,420.0,79.59742857381904,208.65987619090475,2.5683809522052377,9.759209523733334,16.467704762557144,4.714247619201428,0.2308142856757143,18.855095238300475
20,苏123,165.7,64.65861194823175,207.44515391406156,2.5908086905147862,10.627362703200966,18.62526252333736,4.338980084520822,0.15240796600663853,14.242830415180448
21,苏176,387.4,45.17687145011358,215.17338151760455,2.5575580793995876,9.669648941530202,16.011703665286525,5.436763035665978,0.2348838408513165,17.831956634658233
22,苏172,458.2,53.95831514539503,210.4274989078132,2.5472937581610653,11.1162811001244,22.06559580896988,4.93982540382453,0.1449934527525098,20.53428633777259
23,苏147,367.2,76.46263616656863,207.0862309543573,2.6004847495495644,8.283578431762528,19.073115468495097,4.128159041672114,0.2548910675691721,13.689449892004902
24,苏155,148.3,54.82805799109912,206.2853068128793,2.573560350631827,9.735724882714766,22.12662171378287,3.9422724208327713,0.12087660151382333,10.6739986516325
25,苏163,141.7,49.53525758588569,211.27398730105858,2.5990331686090338,12.854375440002823,14.997875794149612,4.7727452363853216,0.21642907556316163,21.4941072697036
26,苏158,358.0,54.76627932964246,208.70494971251398,2.5935195531798882,12.521167597421229,19.713067040648045,4.596307262568716,0.18451396655195532,20.925955307703912
27,苏187,358.0,52.330854749441336,211.63736872150838,2.5460111731675976,11.205698323333518,18.81880446999441,5.043865921861452,0.19656424573631287,28.649005585737427
28,苏48,157.80000000000004,79.69320659347906,214.12776300646382,2.545912547672369,7.420133080034219,17.02079847860836,4.987515842770595,0.2178833966698352,29.59998732465779
29,苏141,315.6,132.69224967843473,206.97301014588083,2.620614702209759,8.322782002534854,19.932433459809882,4.346837769194549,0.14901140687642586,19.54577313000887
30,苏91,167.0,71.3890778424012,208.43941916383235,2.5973652694796403,9.085155688701796,20.303634732077846,4.5938443114389225,0.1322874249736527,18.917479043553293
31,苏196,142.60000000000002,67.5757433391725,207.3816058910238,2.59063814862202,11.57966339476788,19.110140251647962,4.477798036417951,0.2250561009810659,15.619137447908132
32,尔1,399.40000000000003,78.07743615487229,200.81528291206806,2.6128943412719075,8.816955432970955,20.67430144941212,3.4388032047396093,0.08266399604106157,7.856880320609915
33,苏184,165.6,49.95416062675725,208.55925121316426,2.554100241588768,10.283327294923913,17.16956521737802,4.493955314023551,0.17710748791606282,11.621449275312198
34,苏45,260.2,79.96962336538047,204.08393545065337,2.590906994488086,10.644058417329745,18.25132205933897,4.005449654071484,0.14201383544734822,14.452398156443504
35,苏151,297.6,56.160994624173384,207.2745161270161,2.5999260751512097,9.277224462502016,19.026619624126344,4.381377688236559,0.15575268814717744,19.51346774172648
36,苏173,334.8,57.15538829290322,211.65510753572283,2.552688171939665,12.165842293831542,20.89604540023297,4.96324372754301,0.5640203107264038,12.610609319452209
37,苏148,344.79999999999995,58.02965777185035,206.31363107697217,2.598207656613689,9.5182018567413,17.218984918822507,4.143236659017981,0.15100928084860793,14.419083525875871
38,苏38,362.8,55.31461411230981,205.99221609658213,2.588820286734289,10.114884233469681,19.980523704525908,4.297888644086548,0.13707276716317532,17.403996692586546
